GVID-100431,oracle-mysql-cve-2014-6491
GVID-100432,oracle-mysql-cve-2014-6494
GVID-100433,oracle-mysql-cve-2014-6495
GVID-100434,oracle-mysql-cve-2014-6496
GVID-100435,oracle-mysql-cve-2014-6500
GVID-100436,oracle-mysql-cve-2014-6505
GVID-100437,oracle-mysql-cve-2014-6507
GVID-100438,oracle-mysql-cve-2014-6520
GVID-100439,oracle-mysql-cve-2014-6530
GVID-100440,oracle-mysql-cve-2014-6551
GVID-100441,oracle-mysql-cve-2014-6555
GVID-100442,oracle-mysql-cve-2014-6559
GVID-100443,oracle-mysql-cve-2014-6564
GVID-100444,oracle-mysql-cve-2014-6568
GVID-100445,oracle-mysql-cve-2015-0374
GVID-100446,oracle-mysql-cve-2015-0381
GVID-100447,oracle-mysql-cve-2015-0382
GVID-100448,oracle-mysql-cve-2015-0385
GVID-100449,oracle-mysql-cve-2015-0391
GVID-100450,oracle-mysql-cve-2015-0405
GVID-100451,oracle-mysql-cve-2015-0409
GVID-100452,oracle-mysql-cve-2015-0411
GVID-100453,oracle-mysql-cve-2015-0423
GVID-100454,oracle-mysql-cve-2015-0432
GVID-100455,oracle-mysql-cve-2015-0433
GVID-100456,oracle-mysql-cve-2015-0438
GVID-100457,oracle-mysql-cve-2015-0439
GVID-100458,oracle-mysql-cve-2015-0441
GVID-100459,oracle-mysql-cve-2015-0498
GVID-100460,oracle-mysql-cve-2015-0499
GVID-100461,oracle-mysql-cve-2015-0500
GVID-100462,oracle-mysql-cve-2015-0501
GVID-100463,oracle-mysql-cve-2015-0503
GVID-100464,oracle-mysql-cve-2015-0505
GVID-100465,oracle-mysql-cve-2015-0506
GVID-100466,oracle-mysql-cve-2015-0507
GVID-100467,oracle-mysql-cve-2015-0508
GVID-100468,oracle-mysql-cve-2015-0511
GVID-100469,oracle-mysql-cve-2015-2566
GVID-100470,oracle-mysql-cve-2015-2567
GVID-100471,oracle-mysql-cve-2015-2568
GVID-100472,oracle-mysql-cve-2015-2571
GVID-100473,oracle-mysql-cve-2015-2573
GVID-100474,oracle-mysql-cve-2015-2575
GVID-100475,oracle-mysql-cve-2015-2576
GVID-100476,oracle-mysql-cve-2015-2582
GVID-100477,oracle-mysql-cve-2015-2611
GVID-100478,oracle-mysql-cve-2015-2617
GVID-100479,oracle-mysql-cve-2015-2620
GVID-100480,oracle-mysql-cve-2015-2639
GVID-100481,oracle-mysql-cve-2015-2641
GVID-100482,oracle-mysql-cve-2015-2643
GVID-100483,oracle-mysql-cve-2015-2648
GVID-100484,oracle-mysql-cve-2015-2661
GVID-100485,oracle-mysql-cve-2015-3152
GVID-100486,oracle-mysql-cve-2015-3194
GVID-100487,oracle-mysql-cve-2015-4730
GVID-100488,oracle-mysql-cve-2015-4737
GVID-100489,oracle-mysql-cve-2015-4752
GVID-100490,oracle-mysql-cve-2015-4756
GVID-100491,oracle-mysql-cve-2015-4757
GVID-100492,oracle-mysql-cve-2015-4761
GVID-100493,oracle-mysql-cve-2015-4766
GVID-100494,oracle-mysql-cve-2015-4767
GVID-100495,oracle-mysql-cve-2015-4769
GVID-100496,oracle-mysql-cve-2015-4771
GVID-100497,oracle-mysql-cve-2015-4772
GVID-100498,oracle-mysql-cve-2015-4791
GVID-100499,oracle-mysql-cve-2015-4792
GVID-100500,oracle-mysql-cve-2015-4800
GVID-100501,oracle-mysql-cve-2015-4802
GVID-100502,oracle-mysql-cve-2015-4807
GVID-100503,oracle-mysql-cve-2015-4815
GVID-100504,oracle-mysql-cve-2015-4816
GVID-100505,oracle-mysql-cve-2015-4819
GVID-100506,oracle-mysql-cve-2015-4826
GVID-100507,oracle-mysql-cve-2015-4830
GVID-100508,oracle-mysql-cve-2015-4833
GVID-100509,oracle-mysql-cve-2015-4836
GVID-100510,oracle-mysql-cve-2015-4858
GVID-100511,oracle-mysql-cve-2015-4861
GVID-100512,oracle-mysql-cve-2015-4862
GVID-100513,oracle-mysql-cve-2015-4864
GVID-100514,oracle-mysql-cve-2015-4866
GVID-100515,oracle-mysql-cve-2015-4870
GVID-100516,oracle-mysql-cve-2015-4879
GVID-100517,oracle-mysql-cve-2015-4890
GVID-100518,oracle-mysql-cve-2015-4895
GVID-100519,oracle-mysql-cve-2015-4904
GVID-100520,oracle-mysql-cve-2015-4905
GVID-100521,oracle-mysql-cve-2015-4910
GVID-100522,oracle-mysql-cve-2015-4913
GVID-100523,oracle-mysql-cve-2016-0502
GVID-100524,oracle-mysql-cve-2016-0503
GVID-100525,oracle-mysql-cve-2016-0504
GVID-100526,oracle-mysql-cve-2016-0505
